name,create_date,total_pull_requests,total_releases,last_commit_date,main_language,total_issues_closed,total_stars,total_issues_open
'Xiaomi_Kernel_OpenSource',2014,20,0,'2024-07-09T08:15:22Z','N/A',633,8633,4391
'devpod',2023,741,128,'2024-08-23T14:44:17Z','Go',344,8593,17
'eva-icons',2018,39,7,'2020-09-08T19:02:52Z','TypeScript',15,8589,94
'txtai',2020,18,40,'2024-08-24T12:07:37Z','Python',725,8571,35
'open-source-rover',2018,147,4,'2024-07-08T17:48:41Z','Prolog',255,8499,17
'bigbluebutton',2010,9813,228,'2024-08-23T19:46:32Z','JavaScript',8947,8461,145
'crowdsec',2020,1965,152,'2024-08-23T15:05:55Z','Go',752,8432,664
'gorse',2018,426,31,'2024-06-01T09:57:43Z','Go',226,8409,95
'typescript-book',2022,93,0,'2024-06-04T16:49:00Z','TypeScript',15,8393,1
'betaflight',2015,6429,133,'2024-08-25T07:34:27Z','C',5455,8351,230
'cerebro',2016,204,27,'2023-12-06T01:11:13Z','JavaScript',334,8307,67
'Unciv',2017,7219,749,'2024-08-25T09:02:01Z','Kotlin',3839,8257,3
'jmeter',2010,326,10,'2024-08-06T10:00:43Z','Java',4488,8200,79
'backend-challenges',2019,34,0,'2024-04-02T13:17:28Z','N/A',12,8188,152
'logto',2021,5486,60,'2024-08-25T14:47:34Z','TypeScript',340,8169,115
'Scanners-Box',2016,14,0,'2024-04-10T06:41:38Z','N/A',40,8169,812
'unstructured',2022,1872,146,'2024-08-23T21:17:29Z','HTML',898,8162,129
'trigger.dev',2022,709,7,'2024-08-25T15:12:55Z','TypeScript',276,8132,91
'LibreTranslate',2020,257,35,'2024-08-24T07:09:22Z','Python',292,8119,2
'olive',2017,279,6,'2024-08-24T22:23:57Z','C++',1711,8095,103
'conan',2015,5250,277,'2024-08-22T06:31:24Z','Python',9110,8084,1325
'fiftyone',2020,2824,88,'2024-08-24T02:31:48Z','Python',1042,8018,455
'PrestaShop',2012,14671,133,'2024-08-23T09:12:42Z','PHP',13233,7979,2542
'ModSecurity',2011,333,29,'2024-08-14T20:07:24Z','C++',2178,7976,195
'healthchecks',2015,141,59,'2024-08-21T12:52:19Z','Python',651,7950,79
'hummingbot',2019,3217,92,'2024-07-03T14:42:44Z','Python',2720,7865,107
'flynn',2013,2087,0,'2021-09-04T16:17:39Z','Go',2334,7861,368
'Sylius',2011,9373,231,'2024-08-23T12:47:03Z','PHP',4548,7823,0
'nhost',2021,1494,956,'2024-08-23T13:20:27Z','TypeScript',803,7777,0
'awesome-cloudflare',2024,13,0,'2024-07-25T08:27:23Z','N/A',13,7758,177
'rubick',2021,64,99,'2024-08-06T10:16:14Z','TypeScript',213,7727,58
'citybound',2016,65,0,'2020-11-20T18:39:03Z','Rust',165,7701,54
'crater',2019,183,30,'2023-02-19T06:12:34Z','PHP',477,7688,83
'quickwit',2021,2660,25,'2024-08-23T15:31:45Z','Rust',1646,7624,605
'flowbite',2021,133,48,'2024-08-12T11:48:14Z','HTML',412,7550,130
'liteide',2012,148,31,'2024-08-02T02:23:03Z','C++',728,7540,381
'VALL-E-X',2023,13,0,'2023-11-03T11:01:10Z','Python',59,7517,146
'magicui',2023,96,0,'2024-08-21T07:39:31Z','TypeScript',74,7495,392
'opencart',2011,3526,30,'2024-08-25T18:35:38Z','PHP',6673,7387,92
'delta',2019,755,28,'2024-08-23T23:27:42Z','Scala',921,7378,250
'highlight',2020,5817,43,'2024-08-24T02:54:37Z','TypeScript',2231,7376,551
'sweep',2023,1344,4,'2024-08-16T23:20:26Z','Jupyter Notebook',639,7366,23
